iata,name,city,country_code,size_rank
MQP,Kruger Mpumalanga International Airport,Mbombela,ZA,0
MRS,Marseille Provence Airport,"Marignane, Bouches-du-Rhône",FR,0
MRU,Sir Seewoosagur Ramgoolam International Airport,Plaine Magnien,MU,0
MRV,Mineralnye Vody Airport,Mineralnyye Vody,RU,0
MSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,Minneapolis,US,0
MSQ,Minsk National Airport,Minsk,BY,0
MST,Maastricht Aachen Airport,Maastricht,NL,0
MSU,Moshoeshoe I International Airport,Maseru(Mazenod),LS,0
MSY,Louis Armstrong New Orleans International Airport,New Orleans,US,0
MTY,Monterrey International Airport,Monterrey,MX,0
MUB,Maun International Airport,Maun,BW,0
MUC,Munich Airport,Munich,DE,0
MUH,Mersa Matruh International Airport,Marsa Matruh,EG,0
MUX,Multan International Airport,Multan,PK,0
MVD,Carrasco General Cesáreo L. Berisso International Airport,Ciudad de la Costa,UY,0
MWX,Muan International Airport,Muan (Piseo-ri),KR,0
MWZ,Mwanza International Airport,Mwanza,TZ,0
MXP,Milan Malpensa International Airport,Ferno (VA),IT,0
MYJ,Matsuyama Airport,Matsuyama,JP,0
MYR,Myrtle Beach International Airport,Myrtle Beach,US,0
MZG,Penghu Magong Airport,Huxi,TW,0
MZR,Mazar-i-Sharif International Airport,Mazar-i-Sharif,AF,0
MZT,General Rafael Buelna International Airport,Mazatlàn,MX,0
NAG,Dr. Babasaheb Ambedkar International Airport,Nagpur,IN,0
NAJ,Nakhchivan International Airport,Nakhchivan,AZ,0
NAN,Nadi International Airport,Nadi,FJ,0
NAP,Naples International Airport,Napoli,IT,0
NAS,Lynden Pindling International Airport,Nassau,BS,0
NAT,Rio Grande do Norte/São Gonçalo do Amarante–Governador Aluízio Alves International Airport,Natal,BR,0
NAV,Nevşehir Kapadokya Airport,Nevşehir,TR,0
NBJ,Dr. Antonio Agostinho Neto International Airport,Luanda (Ícolo e Bengo),AO,0
NBO,Jomo Kenyatta International Airport,Nairobi,KE,0
NCE,Nice-Côte d'Azur Airport,"Nice, Alpes-Maritimes",FR,0
NCL,Newcastle International Airport,"Newcastle upon Tyne, Tyne and Wear",GB,0
NCU,Nukus International Airport,Nukus,UZ,0
NDB,Nouadhibou International Airport,Nouadhibou,MR,0
NDG,Qiqihar Sanjiazi Airport,Qiqihar,CN,0
NDJ,N'Djamena International Airport,N'Djamena,TD,0
NDR,Nador Al Aaroui International Airport,Al Aaroui,MA,0
NGB,Ningbo Lishe International Airport,Ningbo,CN,0
NGO,Chubu Centrair International Airport,Tokoname,JP,0
NGS,Nagasaki Airport,Nagasaki,JP,0
NIM,Diori Hamani International Airport,Niamey,NE,0
NJC,Nizhnevartovsk Airport,Nizhnevartovsk,RU,0
NJF,Al Najaf International Airport,Najaf,IQ,0
NKC,Nouakchott–Oumtounsy International Airport,Nouakchott,MR,0
NKG,Nanjing Lukou International Airport,Nanjing,CN,0
NLA,Simon Mwansa Kapwepwe International Airport,Ndola,ZM,0
NLU,Felipe Ángeles International Airport,Mexico City,MX,0
NMA,Namangan International Airport,Namangan,UZ,0
NMI,Navi Mumbai International Airport,Navi Mumbai,IN,0
NNG,Nanning Wuxu International Airport,Nanning (Jiangnan),CN,0
NOC,Ireland West Airport Knock,Charlestown,IE,0
